Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,14863060,3,"Monday, October 18, 2010 17:22:32 UTC",33.0648,-114.9457,1.7,0.00, 8,"Southern California"
nm,101810f,A,"Monday, October 18, 2010 17:19:44 UTC",36.2526,-89.4537,1.5,6.60,11,"Tennessee"
ci,14863044,3,"Monday, October 18, 2010 17:14:34 UTC",32.9442,-115.5312,2.0,14.50,29,"Southern California"
nc,71475776,0,"Monday, October 18, 2010 16:41:22 UTC",38.8122,-122.7917,1.1,2.90,16,"Northern California"
ci,14863028,4,"Monday, October 18, 2010 16:40:37 UTC",32.6918,-115.9017,1.2,4.10,19,"Southern California"
ak,10102929,1,"Monday, October 18, 2010 16:38:33 UTC",60.8018,-146.8273,2.0,23.10,17,"Southern Alaska"
ci,14863020,4,"Monday, October 18, 2010 16:24:31 UTC",33.8198,-117.6763,1.3,9.10,31,"Greater Los Angeles area, California"
ci,14863012,4,"Monday, October 18, 2010 16:10:27 UTC",33.8512,-117.4893,1.5,0.00,24,"Greater Los Angeles area, California"
ak,10102910,1,"Monday, October 18, 2010 15:27:42 UTC",59.8381,-141.2659,2.2,0.10, 9,"Southeastern Alaska"
nc,71475761,5,"Monday, October 18, 2010 15:21:37 UTC",40.7333,-123.9582,3.4,21.20,22,"Northern California"
ci,14862988,5,"Monday, October 18, 2010 14:48:57 UTC",32.2910,-115.3668,2.4,10.00,10,"Baja California, Mexico"
nm,101810b,A,"Monday, October 18, 2010 14:29:30 UTC",35.3118,-92.3030,2.6,5.50, 9,"Arkansas"
ci,14862972,4,"Monday, October 18, 2010 14:20:03 UTC",34.2205,-118.5947,1.3,19.10,22,"Greater Los Angeles area, California"
nm,101810d,A,"Monday, October 18, 2010 13:36:23 UTC",35.3183,-92.2945,2.3,3.60, 8,"Arkansas"
ci,14862956,4,"Monday, October 18, 2010 13:34:40 UTC",32.4092,-115.5045,1.6,14.30,21,"Baja California, Mexico"
nc,71475726,0,"Monday, October 18, 2010 13:28:31 UTC",38.8307,-122.7598,1.0,0.80,10,"Northern California"
ak,10102878,1,"Monday, October 18, 2010 13:26:48 UTC",61.3815,-151.0828,1.5,65.30,13,"Southern Alaska"
nc,71475721,3,"Monday, October 18, 2010 13:25:42 UTC",36.8515,-121.5852,1.5,5.00,50,"Central California"
ci,14862948,4,"Monday, October 18, 2010 13:20:05 UTC",34.3798,-118.6020,1.1,5.00,24,"Greater Los Angeles area, California"
